tuning_group,train_MSE,test_MSE,train_RMSE,test_RMSE,train_MAE,test_MAE,train_MAPE,test_MAPE,train_R2,test_R2,sec_conv,perform_validation,num_train_samples,input_1,input_2,#_epochs,#filters_conv1,filter_size_conv1,act_func_conv1,#filters_conv2,filter_size_conv2,act_func_conv2
2,216.5666046142578,245.20114025834258,14.716201782226562,15.658899714167102,11.326817512512207,11.7211479896307,39648008.0,148.5761977970781,0.87605220079422,0.8580082654953003,False,False,17731,30,14,4,48,2,sigmoid,16,5,relu
2,196.8917236328125,217.19331478442018,14.031810760498047,14.7374799333,10.598782539367676,11.36360941529274,23782782.0,145.9000846264409,0.8873127698898315,0.8742271661758423,True,False,17731,30,14,4,48,3,sigmoid,16,5,relu
2,203.60569763183594,247.05695592370284,14.269046783447266,15.718045550376257,11.138773918151855,11.949753420352936,42502752.0,147.75429547609093,0.8834698796272278,0.8569336533546448,False,False,17731,30,14,4,48,3,sigmoid,16,5,relu
2,240.6678466796875,272.0971266160721,15.513473510742188,16.495366822719404,11.898923873901367,12.323803005218506,27913696.0,152.54718456589316,0.8622578382492065,0.8424333333969116,True,False,17731,30,14,4,48,8,sigmoid,16,5,relu
2,229.4317626953125,278.6150775505919,15.147005081176758,16.691766759411415,11.562114715576172,12.310994122028351,17819518.0,153.74955355792085,0.8686888813972473,0.83865886926651,False,False,17731,30,14,4,48,8,sigmoid,16,5,relu
2,211.284912109375,230.8569754596217,14.535642623901367,15.193978263102185,11.088403701782227,11.952584247589112,26114678.0,146.9351912561461,0.8790749311447144,0.8663147687911987,True,False,17731,30,14,4,64,2,sigmoid,16,5,relu
2,254.20343017578125,261.9530950235268,15.943758010864258,16.18496509182293,12.545001983642578,12.44628222823143,87123168.0,147.06679227317096,0.8545112609863281,0.8483075499534607,False,False,17731,30,14,4,64,2,sigmoid,16,5,relu
2,212.6761474609375,235.93326022919257,14.583420753479004,15.360119147623582,11.023225784301758,11.226654953956604,24636062.0,152.89210387472158,0.8782786130905151,0.863375186920166,True,False,17731,30,14,4,64,3,sigmoid,16,5,relu
2,205.00741577148438,248.3587108387433,14.318079948425293,15.759400713185235,11.163960456848145,11.899788132309913,40000716.0,140.339187916062,0.8826677203178406,0.8561798334121704,False,False,17731,30,14,4,64,3,sigmoid,16,5,relu
2,205.19004821777344,268.1282051971834,14.324456214904785,16.37462076498822,10.933308601379395,12.66002754688263,28199518.0,149.65351890150487,0.882563054561615,0.8447316288948059,True,False,17731,30,14,4,64,8,sigmoid,16,5,relu
2,204.49563598632812,253.98504356843128,14.300196647644043,15.936908218611014,10.935720443725586,11.862653582692147,22694926.0,146.6639426264746,0.8829604983329773,0.8529216647148132,False,False,17731,30,14,4,64,8,sigmoid,16,5,relu
